2023-03-08 19:39:35 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2023-03-08 19:39:35 |INFO  |main |ServletWebServerApplicationContext.java:284 |org.springframework.web.context.ContextLoader |Root WebApplicationContext: initialization completed in 2280 ms
2023-03-08 19:39:36 |INFO  |main |PropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2023-03-08 19:39:36 |INFO  |main |ExecutorConfigurationSupport.java:171 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2023-03-08 19:39:36 |INFO  |main |DocumentationPluginsBootstrapper.java:147 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Context refreshed
2023-03-08 19:39:36 |INFO  |main |DocumentationPluginsBootstrapper.java:150 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 1 custom documentation plugin(s)
2023-03-08 19:39:36 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2023-03-08 19:39:36 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-8110"]
2023-03-08 19:39:36 |INFO  |main |TomcatWebServer.java:204 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 8110 (http) with context path ''
2023-03-08 19:39:36 |INFO  |main |StartupInfoLogger.java:61 |com.bijianhua.guli.service.edu.ServiceEduApplication |Started ServiceEduApplication in 4.543 seconds (JVM running for 5.257)
2023-03-08 19:41:18 |INFO  |SpringContextShutdownHook |ExecutorConfigurationSupport.java:208 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Shutting down ExecutorService 'applicationTaskExecutor'
2023-03-08 19:41:22 |INFO  |main |StartupInfoLogger.java:55 |com.bijianhua.guli.service.edu.ServiceEduApplication |Starting ServiceEduApplication on PC-20201216GNIR with PID 11424 (D:\codes\guli_parent\service\service_edu\target\classes started by Administrator in D:\codes\guli_parent)
2023-03-08 19:41:22 |INFO  |main |SpringApplication.java:655 |com.bijianhua.guli.service.edu.ServiceEduApplication |The following profiles are active: dev
